rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
465,#area27831,Durarara!!x2 Ten,TV,12,2015,214348,8.0
467,#area934,Higurashi no Naku Koro ni,TV,26,2006,479592,8.0
469,#area17265,Log Horizon,TV,25,2013,603137,8.0
470,#area36563,Megalo Box,TV,13,2018,178640,8.0
473,#area29803,Overlord,TV,13,2015,574494,8.0
479,#area21855,Hanamonogatari,TV,5,2014,211890,8.0
480,#area25649,Junjou Romantica 3,TV,12,2015,63022,8.0
481,#area861,xxxHOLiC,TV,24,2006,195398,8.0
483,#area3907,Ginga Sengoku Gunyuuden Rai,TV,52,1994,8113,8.0
484,#area33899,IDOLiSH7,TV,17,2018,17258,8.0
486,#area11739,Kimi to Boku. 2,TV,13,2012,57717,8.0
487,#area28297,Ore Monogatari!!,TV,24,2015,322030,8.0
489,#area35968,Wotaku ni Koi wa Muzukashii,TV,11,2018,211274,8.0
491,#area122,Full Moon wo Sagashite,TV,52,2002,74346,8.0
493,#area9996,Hyouge Mono,TV,39,2011,16164,8.0
494,#area10080,Kami nomi zo Shiru Sekai II,TV,12,2011,257093,8.0
496,#area34451,Kekkai Sensen &amp; Beyond,TV,12,2017,177314,8.0
497,#area5678,Kobato.,TV,24,2009,112836,8.0
498,#area77,Mahou Shoujo Lyrical Nanoha A&#039;s,TV,13,2005,49680,8.0
500,#area2159,Ookiku Furikabutte,TV,25,2007,64078,8.0
504,#area2924,ef: A Tale of Memories.,TV,12,2007,188660,8.0
505,#area15,Eyeshield 21,TV,145,2005,113702,8.0
506,#area6702,Fairy Tail,TV,175,2009,885854,8.0
509,#area2762,Igano Kabamaru,TV,24,1983,6896,8.0
511,#area15689,Nekomonogatari: Kuro,TV,4,2012,280689,8.0
513,#area9926,Sekaiichi Hatsukoi,TV,12,2011,129101,8.0
517,#area9941,Tiger &amp; Bunny,TV,25,2011,147693,8.0
520,#area31098,Ushio to Tora (TV) 2nd Season,TV,13,2016,73613,8.0
522,#area66,Azumanga Daioh,TV,26,2002,213785,8.0
524,#area31339,Drifters,TV,12,2016,269521,8.0
526,#area427,Kaleido Star,TV,51,2003,54917,8.0
528,#area6774,Kuuchuu Buranko,TV,11,2009,57872,8.0
529,#area957,Saiunkoku Monogatari,TV,39,2006,64803,8.0
